"collection_date","LABORATORY","outcome","count","collection_date_num"
2020-12-31,"Saint LUC - UCL","n_neg",113,18627
2020-12-31,"ULB","n_neg",193,18627
2020-12-31,"UMons - Jolimont","n_neg",453,18627
2020-12-31,"UZ Gent","n_neg",333,18627
2020-12-31,"UZ leuven","n_neg",463,18627
2020-12-31,"UZA","n_neg",470,18627
2021-01-01,"Namur","n_neg",46,18628
2021-01-01,"Saint LUC - UCL","n_neg",53,18628
2021-01-01,"ULB","n_neg",19,18628
2021-01-01,"UMons - Jolimont","n_neg",76,18628
2021-01-01,"UZ Gent","n_neg",650,18628
2021-01-01,"UZ leuven","n_neg",271,18628
2021-01-01,"UZA","n_neg",478,18628
2021-01-02,"Namur","n_neg",757,18629
2021-01-02,"Saint LUC - UCL","n_neg",1191,18629
2021-01-02,"ULB","n_neg",1577,18629
2021-01-02,"UMons - Jolimont","n_neg",322,18629
2021-01-02,"UZ Gent","n_neg",49,18629
2021-01-02,"UZ leuven","n_neg",511,18629
2021-01-02,"UZA","n_neg",851,18629
2021-01-03,"Namur","n_neg",609,18630
2021-01-03,"Saint LUC - UCL","n_neg",761,18630
2021-01-03,"ULB","n_neg",2026,18630
2021-01-03,"UMons - Jolimont","n_neg",534,18630
2021-01-03,"UZ Gent","n_neg",632,18630
2021-01-03,"UZ leuven","n_neg",1701,18630
2021-01-03,"UZA","n_neg",1282,18630
2021-01-04,"Namur","n_neg",917,18631
2021-01-04,"Saint LUC - UCL","n_neg",1400,18631
2021-01-04,"ULB","n_neg",3477,18631
2021-01-04,"UMons - Jolimont","n_neg",1133,18631
2021-01-04,"UZ Gent","n_neg",2010,18631
2021-01-04,"UZ leuven","n_neg",1276,18631
2021-01-04,"UZA","n_neg",1366,18631
2021-01-05,"Namur","n_neg",1204,18632
2021-01-05,"Saint LUC - UCL","n_neg",3788,18632
2021-01-05,"ULB","n_neg",2819,18632
2021-01-05,"UMons - Jolimont","n_neg",866,18632
2021-01-05,"UZ Gent","n_neg",3515,18632
2021-01-05,"UZ leuven","n_neg",1633,18632
2021-01-05,"UZA","n_neg",1978,18632
2021-01-06,"Namur","n_neg",451,18633
2021-01-06,"Saint LUC - UCL","n_neg",2191,18633
2021-01-06,"ULB","n_neg",1651,18633
2021-01-06,"UMons - Jolimont","n_neg",814,18633
2021-01-06,"UZ Gent","n_neg",2479,18633
2021-01-06,"UZ leuven","n_neg",836,18633
2021-01-06,"UZA","n_neg",1858,18633
2021-01-07,"Namur","n_neg",888,18634
2021-01-07,"Saint LUC - UCL","n_neg",703,18634
2021-01-07,"ULB","n_neg",1288,18634
2021-01-07,"UMons - Jolimont","n_neg",1389,18634
2021-01-07,"UZ Gent","n_neg",2831,18634
2021-01-07,"UZ leuven","n_neg",1884,18634
2021-01-07,"UZA","n_neg",2503,18634
2021-01-08,"Namur","n_neg",981,18635
2021-01-08,"Saint LUC - UCL","n_neg",3289,18635
2021-01-08,"ULB","n_neg",2504,18635
2021-01-08,"UMons - Jolimont","n_neg",784,18635
2021-01-08,"UZ Gent","n_neg",903,18635
2021-01-08,"UZ leuven","n_neg",773,18635
2021-01-08,"UZA","n_neg",1637,18635
2021-01-09,"Namur","n_neg",1327,18636
2021-01-09,"Saint LUC - UCL","n_neg",1028,18636
2021-01-09,"ULB","n_neg",2954,18636
2021-01-09,"UMons - Jolimont","n_neg",386,18636
2021-01-09,"UZ Gent","n_neg",122,18636
2021-01-09,"UZ leuven","n_neg",773,18636
2021-01-09,"UZA","n_neg",2567,18636
2021-01-10,"Namur","n_neg",1020,18637
2021-01-10,"Saint LUC - UCL","n_neg",2928,18637
2021-01-10,"ULB","n_neg",2593,18637
2021-01-10,"UMons - Jolimont","n_neg",513,18637
2021-01-10,"UZ Gent","n_neg",500,18637
2021-01-10,"UZ leuven","n_neg",1663,18637
2021-01-10,"UZA","n_neg",1683,18637
2021-01-11,"Namur","n_neg",758,18638
2021-01-11,"Saint LUC - UCL","n_neg",2203,18638
2021-01-11,"ULB","n_neg",2433,18638
2021-01-11,"UMons - Jolimont","n_neg",1315,18638
2021-01-11,"UZ Gent","n_neg",2451,18638
2021-01-11,"UZ leuven","n_neg",1296,18638
2021-01-11,"UZA","n_neg",2270,18638
2021-01-12,"Namur","n_neg",795,18639
2021-01-12,"Saint LUC - UCL","n_neg",4593,18639
2021-01-12,"ULB","n_neg",1633,18639
2021-01-12,"UMons - Jolimont","n_neg",988,18639
2021-01-12,"UZ Gent","n_neg",3669,18639
2021-01-12,"UZ leuven","n_neg",1373,18639
2021-01-12,"UZA","n_neg",1557,18639
2021-01-13,"Namur","n_neg",70,18640
2021-01-13,"Saint LUC - UCL","n_neg",3890,18640
2021-01-13,"ULB","n_neg",1652,18640
2021-01-13,"UMons - Jolimont","n_neg",765,18640
2021-01-13,"UZ Gent","n_neg",821,18640
2021-01-13,"UZ leuven","n_neg",614,18640
2021-01-13,"UZA","n_neg",1631,18640
2021-01-14,"Namur","n_neg",410,18641
2021-01-14,"Saint LUC - UCL","n_neg",2590,18641
2021-01-14,"ULB","n_neg",912,18641
2021-01-14,"UMons - Jolimont","n_neg",915,18641
2021-01-14,"UZ Gent","n_neg",1127,18641
2021-01-14,"UZ leuven","n_neg",805,18641
2021-01-14,"UZA","n_neg",1034,18641
2021-01-15,"Namur","n_neg",491,18642
2021-01-15,"Saint LUC - UCL","n_neg",1796,18642
2021-01-15,"ULB","n_neg",1431,18642
2021-01-15,"UMons - Jolimont","n_neg",527,18642
2021-01-15,"UZ Gent","n_neg",346,18642
2021-01-15,"UZ leuven","n_neg",362,18642
2021-01-15,"UZA","n_neg",1729,18642
2021-01-16,"Namur","n_neg",421,18643
2021-01-16,"Saint LUC - UCL","n_neg",928,18643
2021-01-16,"ULB","n_neg",1259,18643
2021-01-16,"UMons - Jolimont","n_neg",234,18643
2021-01-16,"UZ Gent","n_neg",43,18643
2021-01-16,"UZ leuven","n_neg",468,18643
2021-01-16,"UZA","n_neg",736,18643
2021-01-17,"Namur","n_neg",490,18644
2021-01-17,"Saint LUC - UCL","n_neg",2248,18644
2021-01-17,"ULB","n_neg",896,18644
2021-01-17,"UMons - Jolimont","n_neg",308,18644
2021-01-17,"UZ Gent","n_neg",360,18644
2021-01-17,"UZ leuven","n_neg",1318,18644
2021-01-17,"UZA","n_neg",1444,18644
2021-01-18,"Namur","n_neg",483,18645
2021-01-18,"Saint LUC - UCL","n_neg",1728,18645
2021-01-18,"ULB","n_neg",1319,18645
2021-01-18,"UMons - Jolimont","n_neg",838,18645
2021-01-18,"UZ Gent","n_neg",2500,18645
2021-01-18,"UZ leuven","n_neg",718,18645
2021-01-18,"UZA","n_neg",3195,18645
2021-01-19,"Namur","n_neg",677,18646
2021-01-19,"Saint LUC - UCL","n_neg",87,18646
2021-01-19,"ULB","n_neg",816,18646
2021-01-19,"UMons - Jolimont","n_neg",771,18646
2021-01-19,"UZ Gent","n_neg",3264,18646
2021-01-19,"UZ leuven","n_neg",917,18646
2021-01-19,"UZA","n_neg",1670,18646
2021-01-20,"Namur","n_neg",388,18647
2021-01-20,"Saint LUC - UCL","n_neg",1812,18647
2021-01-20,"ULB","n_neg",731,18647
2021-01-20,"UMons - Jolimont","n_neg",756,18647
2021-01-20,"UZ Gent","n_neg",1600,18647
2021-01-20,"UZ leuven","n_neg",1147,18647
2021-01-20,"UZA","n_neg",2028,18647
2021-01-21,"Namur","n_neg",223,18648
2021-01-21,"Saint LUC - UCL","n_neg",1479,18648
2021-01-21,"ULB","n_neg",832,18648
2021-01-21,"UMons - Jolimont","n_neg",686,18648
2021-01-21,"UZ Gent","n_neg",587,18648
2021-01-21,"UZ leuven","n_neg",1024,18648
2021-01-21,"UZA","n_neg",2911,18648
2021-01-22,"Namur","n_neg",594,18649
2021-01-22,"Saint LUC - UCL","n_neg",628,18649
2021-01-22,"ULB","n_neg",1000,18649
2021-01-22,"UMons - Jolimont","n_neg",680,18649
2021-01-22,"UZ Gent","n_neg",827,18649
2021-01-22,"UZ leuven","n_neg",437,18649
2021-01-22,"UZA","n_neg",2658,18649
2021-01-23,"Namur","n_neg",359,18650
2021-01-23,"Saint LUC - UCL","n_neg",1040,18650
2021-01-23,"ULB","n_neg",783,18650
2021-01-23,"UMons - Jolimont","n_neg",410,18650
2021-01-23,"UZ Gent","n_neg",186,18650
2021-01-23,"UZ leuven","n_neg",985,18650
2021-01-23,"UZA","n_neg",1991,18650
2021-01-24,"Namur","n_neg",598,18651
2021-01-24,"Saint LUC - UCL","n_neg",2101,18651
2021-01-24,"ULB","n_neg",823,18651
2021-01-24,"UMons - Jolimont","n_neg",363,18651
2021-01-24,"UZ Gent","n_neg",487,18651
2021-01-24,"UZ leuven","n_neg",1047,18651
2021-01-24,"UZA","n_neg",1018,18651
2021-01-25,"Namur","n_neg",674,18652
2021-01-25,"Saint LUC - UCL","n_neg",1532,18652
2021-01-25,"ULB","n_neg",1131,18652
2021-01-25,"UMons - Jolimont","n_neg",1331,18652
2021-01-25,"UZ Gent","n_neg",1616,18652
2021-01-25,"UZ leuven","n_neg",1761,18652
2021-01-25,"UZA","n_neg",3601,18652
2021-01-26,"Namur","n_neg",840,18653
2021-01-26,"Saint LUC - UCL","n_neg",1228,18653
2021-01-26,"ULB","n_neg",1015,18653
2021-01-26,"UMons - Jolimont","n_neg",1465,18653
2021-01-26,"UZ Gent","n_neg",2655,18653
2021-01-26,"UZ leuven","n_neg",1412,18653
2021-01-26,"UZA","n_neg",5001,18653
2021-01-27,"Namur","n_neg",289,18654
2021-01-27,"Saint LUC - UCL","n_neg",1262,18654
2021-01-27,"ULB","n_neg",1171,18654
2021-01-27,"UMons - Jolimont","n_neg",1120,18654
2021-01-27,"UZ Gent","n_neg",1420,18654
2021-01-27,"UZ leuven","n_neg",1523,18654
2021-01-27,"UZA","n_neg",2997,18654
2021-01-28,"Namur","n_neg",586,18655
2021-01-28,"Saint LUC - UCL","n_neg",1691,18655
2021-01-28,"ULB","n_neg",1176,18655
2021-01-28,"UMons - Jolimont","n_neg",1133,18655
2021-01-28,"UZ Gent","n_neg",1254,18655
2021-01-28,"UZ leuven","n_neg",1293,18655
2021-01-28,"UZA","n_neg",1862,18655
2021-01-29,"Namur","n_neg",939,18656
2021-01-29,"Saint LUC - UCL","n_neg",1199,18656
2021-01-29,"ULB","n_neg",1139,18656
2021-01-29,"UMons - Jolimont","n_neg",1730,18656
2021-01-29,"UZ Gent","n_neg",1637,18656
2021-01-29,"UZ leuven","n_neg",1736,18656
2021-01-29,"UZA","n_neg",1695,18656
2021-01-30,"Namur","n_neg",878,18657
2021-01-30,"Saint LUC - UCL","n_neg",1046,18657
2021-01-30,"ULB","n_neg",724,18657
2021-01-30,"UMons - Jolimont","n_neg",707,18657
2021-01-30,"UZ Gent","n_neg",58,18657
2021-01-30,"UZ leuven","n_neg",1405,18657
2021-01-30,"UZA","n_neg",1427,18657
2021-01-31,"Namur","n_neg",618,18658
2021-01-31,"Saint LUC - UCL","n_neg",2299,18658
2021-01-31,"ULB","n_neg",1273,18658
2021-01-31,"UMons - Jolimont","n_neg",345,18658
2021-01-31,"UZ Gent","n_neg",482,18658
2021-01-31,"UZ leuven","n_neg",1653,18658
2021-01-31,"UZA","n_neg",2214,18658
2021-02-01,"Namur","n_neg",1006,18659
2021-02-01,"Saint LUC - UCL","n_neg",1823,18659
2021-02-01,"ULB","n_neg",1342,18659
2021-02-01,"UMons - Jolimont","n_neg",1608,18659
2021-02-01,"UZ Gent","n_neg",1946,18659
2021-02-01,"UZ leuven","n_neg",1305,18659
2021-02-01,"UZA","n_neg",3446,18659
2021-02-02,"Namur","n_neg",626,18660
2021-02-02,"Saint LUC - UCL","n_neg",1487,18660
2021-02-02,"ULB","n_neg",1580,18660
2021-02-02,"UMons - Jolimont","n_neg",1461,18660
2021-02-02,"UZ Gent","n_neg",2564,18660
2021-02-02,"UZ leuven","n_neg",1057,18660
2021-02-02,"UZA","n_neg",1583,18660
2021-02-03,"Namur","n_neg",582,18661
2021-02-03,"Saint LUC - UCL","n_neg",1403,18661
2021-02-03,"ULB","n_neg",1679,18661
2021-02-03,"UMons - Jolimont","n_neg",1296,18661
2021-02-03,"UZ Gent","n_neg",814,18661
2021-02-03,"UZ leuven","n_neg",1394,18661
2021-02-03,"UZA","n_neg",1190,18661
2021-02-04,"Namur","n_neg",751,18662
2021-02-04,"Saint LUC - UCL","n_neg",2347,18662
2021-02-04,"ULB","n_neg",1617,18662
2021-02-04,"UMons - Jolimont","n_neg",2057,18662
2021-02-04,"UZ Gent","n_neg",664,18662
2021-02-04,"UZ leuven","n_neg",1171,18662
2021-02-04,"UZA","n_neg",1737,18662
2021-02-05,"Namur","n_neg",1126,18663
2021-02-05,"Saint LUC - UCL","n_neg",1114,18663
2021-02-05,"ULB","n_neg",1281,18663
2021-02-05,"UMons - Jolimont","n_neg",1389,18663
2021-02-05,"UZ Gent","n_neg",1240,18663
2021-02-05,"UZ leuven","n_neg",528,18663
2021-02-05,"UZA","n_neg",1748,18663
2021-02-06,"Namur","n_neg",656,18664
2021-02-06,"Saint LUC - UCL","n_neg",1081,18664
2021-02-06,"ULB","n_neg",923,18664
2021-02-06,"UMons - Jolimont","n_neg",701,18664
2021-02-06,"UZ Gent","n_neg",74,18664
2021-02-06,"UZ leuven","n_neg",624,18664
2021-02-06,"UZA","n_neg",995,18664
2021-02-07,"Namur","n_neg",1026,18665
2021-02-07,"Saint LUC - UCL","n_neg",2214,18665
2021-02-07,"ULB","n_neg",1380,18665
2021-02-07,"UMons - Jolimont","n_neg",577,18665
2021-02-07,"UZ Gent","n_neg",612,18665
2021-02-07,"UZ leuven","n_neg",876,18665
2021-02-07,"UZA","n_neg",827,18665
2020-12-31,"Saint LUC - UCL","n_spos",14,18627
2020-12-31,"ULB","n_spos",12,18627
2020-12-31,"UMons - Jolimont","n_spos",19,18627
2020-12-31,"UZ Gent","n_spos",12,18627
2020-12-31,"UZ leuven","n_spos",262,18627
2020-12-31,"UZA","n_spos",27,18627
2021-01-01,"Namur","n_spos",5,18628
2021-01-01,"Saint LUC - UCL","n_spos",7,18628
2021-01-01,"ULB","n_spos",6,18628
2021-01-01,"UMons - Jolimont","n_spos",3,18628
2021-01-01,"UZ Gent","n_spos",15,18628
2021-01-01,"UZ leuven","n_spos",20,18628
2021-01-01,"UZA","n_spos",22,18628
2021-01-02,"Namur","n_spos",19,18629
2021-01-02,"Saint LUC - UCL","n_spos",62,18629
2021-01-02,"ULB","n_spos",51,18629
2021-01-02,"UMons - Jolimont","n_spos",15,18629
2021-01-02,"UZ Gent","n_spos",5,18629
2021-01-02,"UZ leuven","n_spos",20,18629
2021-01-02,"UZA","n_spos",19,18629
2021-01-03,"Namur","n_spos",14,18630
2021-01-03,"Saint LUC - UCL","n_spos",23,18630
2021-01-03,"ULB","n_spos",23,18630
2021-01-03,"UMons - Jolimont","n_spos",23,18630
2021-01-03,"UZ Gent","n_spos",11,18630
2021-01-03,"UZ leuven","n_spos",76,18630
2021-01-03,"UZA","n_spos",47,18630
2021-01-04,"Namur","n_spos",42,18631
2021-01-04,"Saint LUC - UCL","n_spos",33,18631
2021-01-04,"ULB","n_spos",64,18631
2021-01-04,"UMons - Jolimont","n_spos",49,18631
2021-01-04,"UZ Gent","n_spos",51,18631
2021-01-04,"UZ leuven","n_spos",70,18631
2021-01-04,"UZA","n_spos",49,18631
2021-01-05,"Namur","n_spos",77,18632
2021-01-05,"Saint LUC - UCL","n_spos",130,18632
2021-01-05,"ULB","n_spos",113,18632
2021-01-05,"UMons - Jolimont","n_spos",56,18632
2021-01-05,"UZ Gent","n_spos",69,18632
2021-01-05,"UZ leuven","n_spos",53,18632
2021-01-05,"UZA","n_spos",38,18632
2021-01-06,"Namur","n_spos",6,18633
2021-01-06,"Saint LUC - UCL","n_spos",51,18633
2021-01-06,"ULB","n_spos",39,18633
2021-01-06,"UMons - Jolimont","n_spos",17,18633
2021-01-06,"UZ Gent","n_spos",45,18633
2021-01-06,"UZ leuven","n_spos",43,18633
2021-01-06,"UZA","n_spos",35,18633
2021-01-07,"Namur","n_spos",39,18634
2021-01-07,"Saint LUC - UCL","n_spos",21,18634
2021-01-07,"ULB","n_spos",27,18634
2021-01-07,"UMons - Jolimont","n_spos",34,18634
2021-01-07,"UZ Gent","n_spos",46,18634
2021-01-07,"UZ leuven","n_spos",55,18634
2021-01-07,"UZA","n_spos",83,18634
2021-01-08,"Namur","n_spos",33,18635
2021-01-08,"Saint LUC - UCL","n_spos",64,18635
2021-01-08,"ULB","n_spos",38,18635
2021-01-08,"UMons - Jolimont","n_spos",32,18635
2021-01-08,"UZ Gent","n_spos",18,18635
2021-01-08,"UZ leuven","n_spos",19,18635
2021-01-08,"UZA","n_spos",30,18635
2021-01-09,"Namur","n_spos",24,18636
2021-01-09,"Saint LUC - UCL","n_spos",30,18636
2021-01-09,"ULB","n_spos",21,18636
2021-01-09,"UMons - Jolimont","n_spos",15,18636
2021-01-09,"UZ Gent","n_spos",1,18636
2021-01-09,"UZ leuven","n_spos",35,18636
2021-01-09,"UZA","n_spos",37,18636
2021-01-10,"Namur","n_spos",29,18637
2021-01-10,"Saint LUC - UCL","n_spos",91,18637
2021-01-10,"ULB","n_spos",60,18637
2021-01-10,"UMons - Jolimont","n_spos",15,18637
2021-01-10,"UZ Gent","n_spos",9,18637
2021-01-10,"UZ leuven","n_spos",67,18637
2021-01-10,"UZA","n_spos",41,18637
2021-01-11,"Namur","n_spos",36,18638
2021-01-11,"Saint LUC - UCL","n_spos",40,18638
2021-01-11,"ULB","n_spos",56,18638
2021-01-11,"UMons - Jolimont","n_spos",56,18638
2021-01-11,"UZ Gent","n_spos",20,18638
2021-01-11,"UZ leuven","n_spos",61,18638
2021-01-11,"UZA","n_spos",57,18638
2021-01-12,"Namur","n_spos",71,18639
2021-01-12,"Saint LUC - UCL","n_spos",122,18639
2021-01-12,"ULB","n_spos",48,18639
2021-01-12,"UMons - Jolimont","n_spos",41,18639
2021-01-12,"UZ Gent","n_spos",71,18639
2021-01-12,"UZ leuven","n_spos",56,18639
2021-01-12,"UZA","n_spos",36,18639
2021-01-13,"Namur","n_spos",10,18640
2021-01-13,"Saint LUC - UCL","n_spos",205,18640
2021-01-13,"ULB","n_spos",94,18640
2021-01-13,"UMons - Jolimont","n_spos",90,18640
2021-01-13,"UZ Gent","n_spos",56,18640
2021-01-13,"UZ leuven","n_spos",76,18640
2021-01-13,"UZA","n_spos",93,18640
2021-01-14,"Namur","n_spos",56,18641
2021-01-14,"Saint LUC - UCL","n_spos",128,18641
2021-01-14,"ULB","n_spos",86,18641
2021-01-14,"UMons - Jolimont","n_spos",68,18641
2021-01-14,"UZ Gent","n_spos",28,18641
2021-01-14,"UZ leuven","n_spos",88,18641
2021-01-14,"UZA","n_spos",51,18641
2021-01-15,"Namur","n_spos",53,18642
2021-01-15,"Saint LUC - UCL","n_spos",93,18642
2021-01-15,"ULB","n_spos",65,18642
2021-01-15,"UMons - Jolimont","n_spos",84,18642
2021-01-15,"UZ Gent","n_spos",18,18642
2021-01-15,"UZ leuven","n_spos",40,18642
2021-01-15,"UZA","n_spos",74,18642
2021-01-16,"Namur","n_spos",57,18643
2021-01-16,"Saint LUC - UCL","n_spos",60,18643
2021-01-16,"ULB","n_spos",56,18643
2021-01-16,"UMons - Jolimont","n_spos",22,18643
2021-01-16,"UZ Gent","n_spos",11,18643
2021-01-16,"UZ leuven","n_spos",55,18643
2021-01-16,"UZA","n_spos",54,18643
2021-01-17,"Namur","n_spos",27,18644
2021-01-17,"Saint LUC - UCL","n_spos",103,18644
2021-01-17,"ULB","n_spos",100,18644
2021-01-17,"UMons - Jolimont","n_spos",40,18644
2021-01-17,"UZ Gent","n_spos",10,18644
2021-01-17,"UZ leuven","n_spos",142,18644
2021-01-17,"UZA","n_spos",43,18644
2021-01-18,"Namur","n_spos",90,18645
2021-01-18,"Saint LUC - UCL","n_spos",156,18645
2021-01-18,"ULB","n_spos",69,18645
2021-01-18,"UMons - Jolimont","n_spos",134,18645
2021-01-18,"UZ Gent","n_spos",107,18645
2021-01-18,"UZ leuven","n_spos",57,18645
2021-01-18,"UZA","n_spos",74,18645
2021-01-19,"Namur","n_spos",113,18646
2021-01-19,"Saint LUC - UCL","n_spos",5,18646
2021-01-19,"ULB","n_spos",93,18646
2021-01-19,"UMons - Jolimont","n_spos",104,18646
2021-01-19,"UZ Gent","n_spos",188,18646
2021-01-19,"UZ leuven","n_spos",88,18646
2021-01-19,"UZA","n_spos",61,18646
2021-01-20,"Namur","n_spos",54,18647
2021-01-20,"Saint LUC - UCL","n_spos",162,18647
2021-01-20,"ULB","n_spos",55,18647
2021-01-20,"UMons - Jolimont","n_spos",116,18647
2021-01-20,"UZ Gent","n_spos",229,18647
2021-01-20,"UZ leuven","n_spos",93,18647
2021-01-20,"UZA","n_spos",67,18647
2021-01-21,"Namur","n_spos",13,18648
2021-01-21,"Saint LUC - UCL","n_spos",109,18648
2021-01-21,"ULB","n_spos",83,18648
2021-01-21,"UMons - Jolimont","n_spos",125,18648
2021-01-21,"UZ Gent","n_spos",97,18648
2021-01-21,"UZ leuven","n_spos",100,18648
2021-01-21,"UZA","n_spos",169,18648
2021-01-22,"Namur","n_spos",58,18649
2021-01-22,"Saint LUC - UCL","n_spos",22,18649
2021-01-22,"ULB","n_spos",87,18649
2021-01-22,"UMons - Jolimont","n_spos",122,18649
2021-01-22,"UZ Gent","n_spos",88,18649
2021-01-22,"UZ leuven","n_spos",52,18649
2021-01-22,"UZA","n_spos",111,18649
2021-01-23,"Namur","n_spos",46,18650
2021-01-23,"Saint LUC - UCL","n_spos",68,18650
2021-01-23,"ULB","n_spos",58,18650
2021-01-23,"UMons - Jolimont","n_spos",14,18650
2021-01-23,"UZ Gent","n_spos",41,18650
2021-01-23,"UZ leuven","n_spos",80,18650
2021-01-23,"UZA","n_spos",127,18650
2021-01-24,"Namur","n_spos",41,18651
2021-01-24,"Saint LUC - UCL","n_spos",111,18651
2021-01-24,"ULB","n_spos",68,18651
2021-01-24,"UMons - Jolimont","n_spos",45,18651
2021-01-24,"UZ Gent","n_spos",68,18651
2021-01-24,"UZ leuven","n_spos",141,18651
2021-01-24,"UZA","n_spos",77,18651
2021-01-25,"Namur","n_spos",121,18652
2021-01-25,"Saint LUC - UCL","n_spos",106,18652
2021-01-25,"ULB","n_spos",62,18652
2021-01-25,"UMons - Jolimont","n_spos",227,18652
2021-01-25,"UZ Gent","n_spos",215,18652
2021-01-25,"UZ leuven","n_spos",141,18652
2021-01-25,"UZA","n_spos",179,18652
2021-01-26,"Namur","n_spos",75,18653
2021-01-26,"Saint LUC - UCL","n_spos",106,18653
2021-01-26,"ULB","n_spos",55,18653
2021-01-26,"UMons - Jolimont","n_spos",190,18653
2021-01-26,"UZ Gent","n_spos",131,18653
2021-01-26,"UZ leuven","n_spos",121,18653
2021-01-26,"UZA","n_spos",142,18653
2021-01-27,"Namur","n_spos",17,18654
2021-01-27,"Saint LUC - UCL","n_spos",114,18654
2021-01-27,"ULB","n_spos",71,18654
2021-01-27,"UMons - Jolimont","n_spos",124,18654
2021-01-27,"UZ Gent","n_spos",157,18654
2021-01-27,"UZ leuven","n_spos",122,18654
2021-01-27,"UZA","n_spos",156,18654
2021-01-28,"Namur","n_spos",125,18655
2021-01-28,"Saint LUC - UCL","n_spos",114,18655
2021-01-28,"ULB","n_spos",162,18655
2021-01-28,"UMons - Jolimont","n_spos",123,18655
2021-01-28,"UZ Gent","n_spos",79,18655
2021-01-28,"UZ leuven","n_spos",146,18655
2021-01-28,"UZA","n_spos",108,18655
2021-01-29,"Namur","n_spos",156,18656
2021-01-29,"Saint LUC - UCL","n_spos",85,18656
2021-01-29,"ULB","n_spos",157,18656
2021-01-29,"UMons - Jolimont","n_spos",212,18656
2021-01-29,"UZ Gent","n_spos",86,18656
2021-01-29,"UZ leuven","n_spos",165,18656
2021-01-29,"UZA","n_spos",224,18656
2021-01-30,"Namur","n_spos",139,18657
2021-01-30,"Saint LUC - UCL","n_spos",82,18657
2021-01-30,"ULB","n_spos",83,18657
2021-01-30,"UMons - Jolimont","n_spos",109,18657
2021-01-30,"UZ Gent","n_spos",80,18657
2021-01-30,"UZ leuven","n_spos",204,18657
2021-01-30,"UZA","n_spos",198,18657
