Virus name	Accession ID	Collection date	Location	Host	Passage	Specimen	Additional host information	Sequencing technology	Assembly method	Comment	Comment type	Lineage	Clade
hCoV-19/USA/CT-JAX-JAX000943/2021	EPI_ISL_1625541	2021-04-10	North America / USA / Connecticut	Human	Original			Illumina COVIDSeq		Stretches of NNNs (4.07% of overall sequence). NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	warn	B.1.1.7	GRY
hCoV-19/USA/CT-JAX-JAX000916/2021	EPI_ISL_1625566	2021-04-10	North America / USA / Connecticut	Human	Original			Illumina COVIDSeq		NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/USA/CT-JAX-JAX000928/2021	EPI_ISL_1625568	2021-04-10	North America / USA / Connecticut	Human	Original			Illumina COVIDSeq		NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/USA/CT-JAX-JAX000921/2021	EPI_ISL_1625594	2021-04-10	North America / USA / Connecticut	Human	Original			Illumina COVIDSeq		NS8_K68stop results in 44.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/USA/CT-JAX-JAX000937/2021	EPI_ISL_1625598	2021-04-10	North America / USA / Connecticut	Human	Original			Illumina COVIDSeq		NS8_K68stop results in 44.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/USA/NY-PRL-2021_0414_00N03/2021	EPI_ISL_1633902	2021-04-13	North America / USA / New York / New York City	Human	Original	Nasopharyngeal swab		Illumina MiSeq/NextSeq	BWA mem 0.7.17-r1188	Stretches of NNNs (1.91% of overall sequence). NS8_K68stop results in 44.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	warn	B.1.1.7	GRY
hCoV-19/USA/NY-PRL-2021_0414_00K13/2021	EPI_ISL_1633903	2021-04-13	North America / USA / New York / New York City	Human	Original	Nasopharyngeal swab		Illumina MiSeq/NextSeq	BWA mem 0.7.17-r1188	Gap of 10 nucleotides when compared to the reference sequence.	info	B.1.526.2	GH
hCoV-19/USA/NY-PRL-2021_0414_00C21/2021	EPI_ISL_1633905	2021-04-12	North America / USA / New York / New York City	Human	Original	Nasopharyngeal swab		Illumina MiSeq/NextSeq	BWA mem 0.7.17-r1188	Stretches of NNNs (2.95% of overall sequence). NS8_K68stop results in 44.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 10 nucleotides when compared to the reference sequence.	warn	B.1.1.312	GH
hCoV-19/USA/NY-PRL-2021_0415_00I02/2021	EPI_ISL_1633906	2021-04-12	North America / USA / New York / New York City	Human	Original	Nasopharyngeal swab		Illumina MiSeq/NextSeq	BWA mem 0.7.17-r1188	NS8_K68stop results in 44.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/USA/NY-PRL-2021_0414_00H01/2021	EPI_ISL_1633907	2021-04-12	North America / USA / New York / New York City	Human	Original	Nasopharyngeal swab		Illumina MiSeq/NextSeq	BWA mem 0.7.17-r1188	NS8_K68stop results in 44.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/USA/NY-PRL-2021_0414_00F15/2021	EPI_ISL_1633909	2021-04-12	North America / USA / New York / New York City	Human	Original	Nasopharyngeal swab		Illumina MiSeq/NextSeq	BWA mem 0.7.17-r1188	Long stretches of NNNs (6.35% of overall sequence). Gap of 10 nucleotides when compared to the reference sequence.	alert	B.1.526.2	G
hCoV-19/USA/NY-PRL-2021_0412_02A17/2021	EPI_ISL_1636140	2021-04-10	North America / USA / New York / New York City	Human	Original	Nasopharyngeal swab		Illumina MiSeq/NextSeq	BWA mem 0.7.17-r1188	Stretches of NNNs (3.43% of overall sequence). NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	warn	B.1.1.7	GRY
hCoV-19/USA/NY-PRL-2021_0413_00J24/2021	EPI_ISL_1636162	2021-04-12	North America / USA / New York / New York City	Human	Original	Nasopharyngeal swab		Illumina MiSeq/NextSeq	BWA mem 0.7.17-r1188	Stretches of NNNs (2.95% of overall sequence). NS8_E106stop results in 13.2% truncation of the protein sequence. Gap of 30 nucleotides when compared to the reference sequence.	warn	B.1.1.318	GR
hCoV-19/USA/NY-PRL-2021_0413_00L23/2021	EPI_ISL_1636164	2021-04-12	North America / USA / New York / New York City	Human	Original	Nasopharyngeal swab		Illumina MiSeq/NextSeq	BWA mem 0.7.17-r1188	Gap of 10 nucleotides when compared to the reference sequence.	info	B.1.526	GH
hCoV-19/USA/NY-PRL-2021_0413_00C10/2021	EPI_ISL_1636165	2021-04-10	North America / USA / New York / New York City	Human	Original	Nasopharyngeal swab		Illumina MiSeq/NextSeq	BWA mem 0.7.17-r1188	Stretches of NNNs (3.02% of overall sequence). Gap of 10 nucleotides when compared to the reference sequence.	warn	B.1.526.2	GH
hCoV-19/USA/NY-PRL-2021_0413_00C08/2021	EPI_ISL_1636166	2021-04-11	North America / USA / New York / New York City	Human	Original	Nasopharyngeal swab		Illumina MiSeq/NextSeq	BWA mem 0.7.17-r1188	Insertion of 4 nucleotides when compared to the reference sequence. Gap of 9 nucleotides when compared to the reference sequence.	info	P.1	GR
hCoV-19/USA/NY-PRL-2021_0412_02B03/2021	EPI_ISL_1636171	2021-04-10	North America / USA / New York / New York City	Human	Original	Nasopharyngeal swab		Illumina MiSeq/NextSeq	BWA mem 0.7.17-r1188	Gap of 10 nucleotides when compared to the reference sequence.	info	B.1.526	GH
hCoV-19/USA/NY-PRL-2021_0412_02I23/2021	EPI_ISL_1636173	2021-04-11	North America / USA / New York / New York City	Human	Original	Nasopharyngeal swab		Illumina MiSeq/NextSeq	BWA mem 0.7.17-r1188	Stretches of NNNs (2.95% of overall sequence). Gap of 10 nucleotides when compared to the reference sequence.	warn	B.1.526	GH
hCoV-19/USA/NY-PRL-2021_0413_00L24/2021	EPI_ISL_1636174	2021-04-12	North America / USA / New York / New York City	Human	Original	Nasopharyngeal swab		Illumina MiSeq/NextSeq	BWA mem 0.7.17-r1188	Stretches of NNNs (4.87% of overall sequence). Insertion of 9 nucleotides when compared to the reference sequence.	warn	A.2.5	S
hCoV-19/USA/NY-PRL-2021_0412_02L15/2021	EPI_ISL_1636175	2021-04-10	North America / USA / New York / New York City	Human	Original	Nasopharyngeal swab		Illumina MiSeq/NextSeq	BWA mem 0.7.17-r1188	NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/USA/NY-PRL-2021_0412_02L18/2021	EPI_ISL_1636177	2021-04-10	North America / USA / New York / New York City	Human	Original	Nasopharyngeal swab		Illumina MiSeq/NextSeq	BWA mem 0.7.17-r1188	Gap of 2 nucleotides when compared to the reference sequence.	info	B.1.575	GH
hCoV-19/USA/NY-PRL-2021_0413_00G06/2021	EPI_ISL_1636179	2021-04-11	North America / USA / New York / New York City	Human	Original	Nasopharyngeal swab		Illumina MiSeq/NextSeq	BWA mem 0.7.17-r1188	NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/USA/NY-PRL-2021_0413_00H03/2021	EPI_ISL_1636200	2021-04-12	North America / USA / New York / New York City	Human	Original	Nasopharyngeal swab		Illumina MiSeq/NextSeq	BWA mem 0.7.17-r1188	Long stretches of NNNs (8.30% of overall sequence). Gap of 10 nucleotides when compared to the reference sequence.	alert	B.1.526	GH
hCoV-19/USA/NY-PRL-2021_0412_02I18/2021	EPI_ISL_1636201	2021-04-11	North America / USA / New York / New York City	Human	Original	Nasopharyngeal swab		Illumina MiSeq/NextSeq	BWA mem 0.7.17-r1188	NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/USA/NY-PRL-2021_0413_00J03/2021	EPI_ISL_1636202	2021-04-12	North America / USA / New York / New York City	Human	Original	Nasopharyngeal swab		Illumina MiSeq/NextSeq	BWA mem 0.7.17-r1188	NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/USA/NY-PRL-2021_0412_02L24/2021	EPI_ISL_1636204	2021-04-10	North America / USA / New York / New York City	Human	Original	Nasopharyngeal swab		Illumina MiSeq/NextSeq	BWA mem 0.7.17-r1188	Long stretches of NNNs (6.88% of overall sequence). NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	alert	B.1.1.7	GRY
hCoV-19/USA/NY-PRL-2021_0413_00M18/2021	EPI_ISL_1636206	2021-04-12	North America / USA / New York / New York City	Human	Original	Nasopharyngeal swab		Illumina MiSeq/NextSeq	BWA mem 0.7.17-r1188	Stretches of NNNs (2.95% of overall sequence). Gap of 13 nucleotides when compared to the reference sequence.	warn	B.1.526	GH
hCoV-19/USA/NY-PRL-2021_0413_00D04/2021	EPI_ISL_1636208	2021-04-11	North America / USA / New York / New York City	Human	Original	Nasopharyngeal swab		Illumina MiSeq/NextSeq	BWA mem 0.7.17-r1188	Stretches of NNNs (2.94% of overall sequence). Gap of 10 nucleotides when compared to the reference sequence.	warn	B.1.526	GH
